"Dropdown";"Four State";"Text";"Boolean";"Float";"Integer";"Time";"Date";"Mail";"Link";"timestamp"
"test";"1";"Rahul Kaushik";"0";"1.34";"4";"10:30:00";"24-03-2016";"yxc@test.com";"www.shopping.com";"2022-02-07 11:10:16"
"test2";"0";"Text 2";"1";"345.34";"3";"11:30:00";"25-03-2016";"ete@test.com";"www.yahoo.com";"2022-02-07 11:07:10"
"";"1";"Text 3";"1";"45.456";"6";"17:50:00";"26-03-2016";"cfsv@test.com";"www.nyc.com";"2022-02-07 11:07:11"
"";"2";"Text 4";"1";"98.64";"8";"18:50:00";"26-07-2016";"tere@test.com";"www.shopping.com";"2022-02-07 11:07:12"
"";"2";"Text 5";"1";"456.766";"90";"19:10:00";"27-07-2016";"tesu@test.com";"www.times.com";"2022-02-07 11:07:13"
"";"1";"Text 6";"0";"906.098";"543";"20:10:00";"15-01-2010";"test07@test.com";"www.nyc.com";"2022-02-07 11:07:14"
"";"0";"Text 7";"1";"1.34";"78";"10:13:00";"16-01-2010";"test3@test.com";"www.shopping.com";"2022-02-07 11:07:15"
"";"";"Text 8";"0";"345.34";"6";"01:27:00";"11-08-2016";"test2@test.com";"www.times.com";"2022-02-07 11:07:16"
"";"1";"Text 9";"1";"45.456";"24";"02:27:00";"07-09-2011";"test1@test.com";"www.nyc.com";"2022-02-07 11:07:17"
"";"2";"Text 10";"0";"98.64";"6";"05:42:00";"11-12-2012";"mnb@test.com";"www.blogspot.com";"2022-02-07 11:07:18"
"";"0";"Text 11";"1";"456.766";"867";"14:13:00";"04-06-1988";"oiuz@test.com";"www.times.com";"2022-02-07 11:07:19"
"";"";"Text 12";"0";"906.098";"547";"15:13:00";"05-06-1988";"fgh@test.com";"www.nyc.com";"2022-02-07 11:07:20"
"";"1";"Text 13";"0";"5462.23";"46";"16:13:00";"06-06-1988";"abc@test.com";"www.shopping.com";"2022-02-07 11:07:21"
"test";"";"";"";"";"";"";"01-01-1970";"";"";"2022-02-07 11:07:22"
